MATERIA,CLAVE,SECC,NRC,DIA,HORA,SALON,PROFESOR
Formacion Humana y Social,FGUS 001,101,20024,MV,0900-1059,1CCO1/001,ZENTENO - VAZQUEZ ANA CLAUDIA
DHPC,FGUS 002,101,20025,AJ,0700-0859,1EMA5/105,DAWE - GONZALEZ ARTURO
Lengua Extranjera I,FGUS 004,101,20026,AJ,1100-1259,1CCO1/001,CRUZ - LOPEZ MARIA SILVIA CO
Lengua Extranjera II,FGUS 005,101,20027,AJ,0700-0859,1EMA5/206,PA
Lengua Extranjera III,FGUS 006,101,20028,AJ,0900-1059,1EMA5/206,OLAVIDE - CASTILLO LUCIA EMILIA
Lengua Extranjera IV,FGUS 007,101,20029,A,0700-0859,1CCO4/308,CHAVEZ - HEREDIA CLAUDIA
Lengua Extranjera IV,FGUS 007,101,20029,J,0700-0859,1CCO4/301,CHAVEZ - HEREDIA CLAUDIA
Tecnologias Web,ITIS 255,1,25981,L,1300-1359,1CCO3/104,CONDE - RAMIREZ JUAN CARLOS
Tecnologias Web,ITIS 255,OO1,25981,M,1300-1459,1CCO3/109,CONDE - RAMIREZ JUAN CARLOS
Tecnologias Web,ITIS 255,OO1,25981,V,1300-1459,1CCO4/402,CONDE - RAMIREZ JUAN CARLOS
Administrac. de Bases de Datos,ITIS 252,OO1,25997,A,1100-1259,1CCO3/104,MARTINEZ - MIRON ERIKA ANNABEL
Administrac. de Bases de Datos,ITIS 252,OO1,25997,J,1100-1259,1CCO4/103,MARTINEZ - MIRON ERIKA ANNABEL
Administrac. de Bases de Datos,ITIS 252,OO1,25997,L,1200-1259,1CCO4/103,MARTINEZ - MIRON ERIKA ANNABEL
Servicios Web,ITIS 260,OO1,26027,L,1100-1159,1CCO4/401,SANCHEZ - LOPEZ ABRAHAM
Servicios Web,ITIS 260,OO1,26027,MV,1100-1259,1CCO4/401,SANCHEZ - LOPEZ ABRAHAM
Administracion de proyectos,IDDS 001,101,26038,A,0700-0859,1CCO3/208,SILVA - SANCHEZ PATRICIA
Administracion de proyectos,IDDS 001,101,26038,J,0700-0859,1CCO4/102,SILVA - SANCHEZ PATRICIA
Redes y Servicios,ITIS 250,OO1,26048,A,1500-1659,1CCO3/301,BAUTISTA - LOPEZ VERONICA EDITH
Redes y Servicios,ITIS 250,OO1,26048,J,1500-1659,1CCO4/403,BAUTISTA - LOPEZ VERONICA EDITH
Redes y Servicios,ITIS 250,OO1,26048,L,1600-1659,1CCO4/403,BAUTISTA - LOPEZ VERONICA EDITH
Administracion de proyectos,IDDS 001,102,26054,A,0900-1059,1CCO4/103,AGUILAR - RICO ADOLFO
Administracion de proyectos,IDDS 001,102,26054,J,0900-1059,1CCO4/103,AGUILAR - RICO ADOLFO
Redes de Computadoras,CCOS 260,OO1,26055,L,1300-1359,1CCO4/101,ATA - PEREZ APOLONIO
Redes de Computadoras,CCOS 260,OO1,26055,M,1300-1459,1CCO3/303,ATA - PEREZ APOLONIO
Redes de Computadoras,CCOS 260,OO1,26055,V,1300-1459,1CCO4/101,ATA - PEREZ APOLONIO
Redes de Computadoras,CCOS 260,OO2,26058,L,1700-1759,1CCO4/103,MEJIA - PALAFOX JUAN
Redes de Computadoras,CCOS 260,OO2,26058,M,1700-1859,1CCO4/103,MEJIA - PALAFOX JUAN
Redes de Computadoras,CCOS 260,OO2,26058,V,1700-1859,1CCO3/301,MEJIA - PALAFOX JUAN
Administracion de proyectos,IDDS 001,103,26061,M,1100-1259,1CCO4/103,AMBROSIO - VAZQUEZ ALMA DELIA
Administracion de proyectos,IDDS 001,103,26061,V,1100-1259,1CCO4/201,AMBROSIO - VAZQUEZ ALMA DELIA
Administracion de proyectos,IDDS 001,104,26062,AJ,1300-1459,1CCO4/402,ARCHUNDIA - SIERRA ETELVINA
Administracion de proyectos,IDDS 001,105,26066,MV,1700-1859,1CCO4/402,CARRILLO - RUIZ MAYA
Program. Orientada a Objetos I,ITIS 006,OO1,26071,A,1100-1259,1CCO4/102,CONDE - RAMIREZ JUAN CARLOS
Program. Orientada a Objetos I,ITIS 006,OO1,26071,J,1100-1259,1CCO3/101,CONDE - RAMIREZ JUAN CARLOS
Program. Orientada a Objetos I,ITIS 006,OO1,26071,L,1200-1259,1CCO4/102,CONDE - RAMIREZ JUAN CARLOS
Program. Orientada a Objetos I,IDDS 001,106,26072,AJ,1700-1859,1CCO1/005,ROSALES - LOPEZ KARINA
Program. Orientada a Objetos I,ITIS 006,OO2,26073,A,1300-1459,1CCO3/114,GALICIA - HERNANDEZ YALU
Program. Orientada a Objetos I,ITIS 006,OO2,26073,J,1300-1459,1EMA4/409,GALICIA - HERNANDEZ YALU
Program. Orientada a Objetos I,ITIS 006,OO2,26073,L,1400-1459,1EMA4/409,GALICIA - HERNANDEZ YALU
Administracion de Redes,ISTI 201,OO1,26079,L,1500-1559,1CCO4/101,ROMERO - HERNANDEZ YEINY
Administracion de Redes,ISTI 201,OO1,26079,M,1500-1659,1CCO3/301,ROMERO - HERNANDEZ YEINY
Administracion de Redes,ISTI 201,OO1,26079,V,1500-1659,1CCO4/101,ROMERO - HERNANDEZ YEINY
Admon. de Sistemas Operativos,ITIS 254,OO1,26082,L,1100-1159,1CCO4/103,PEREZ - LUCERO JOSUE
Admon. de Sistemas Operativos,ITIS 254,OO1,26082,M,1100-1259,1CCO3/104,PEREZ - LUCERO JOSUE
Admon. de Sistemas Operativos,ITIS 254,OO1,26082,V,1100-1259,1CCO4/103,PEREZ - LUCERO JOSUE
Algebra Lineal con Aplicaciones,ITIS 005,OO1,26143,AJ,0900-1059,1CCO4/102,MALDONADO - GARCIA ABRAHAM
Algebra Lineal con Aplicaciones,ITIS 005,OO1,26143,L,1000-1059,1CCO4/102,MALDONADO - GARCIA ABRAHAM
Algebra Lineal con Aplicaciones,ITIS 005,OO2,26144,L,1300-1359,1CCO4/201,RAMIREZ - HERNANDEZ HECTOR
Algebra Lineal con Aplicaciones,ITIS 005,OO2,26144,MV,1300-1459,1CCO4/201,RAMIREZ - HERNANDEZ HECTOR
Program.Orientada a Objetos II,ITIS 010,OO1,26182,A,0900-1059,1CCO3/104,TORIZ - PALACIOS ALFREDO
Program.Orientada a Objetos II,ITIS 010,OO1,26182,J,0900-1059,1CCO4/201,TORIZ - PALACIOS ALFREDO
Program.Orientada a Objetos II,ITIS 010,OO1,26182,L,1000-1059,1CCO4/201,TORIZ - PALACIOS ALFREDO
Program.Orientada a Objetos II,ITIS 010,OO2,26183,L,1500-1559,1CCO4/202,GARCIA - RAMIREZ RUBEN SENEN
Program.Orientada a Objetos II,ITIS 010,OO2,26183,M,1500-1659,1CCO3/101,GARCIA - RAMIREZ RUBEN SENEN
Program.Orientada a Objetos II,ITIS 010,OO2,26183,V,1500-1659,1CCO4/202,GARCIA - RAMIREZ RUBEN SENEN
Probabilidad y Estadistica,ITIS 009,OO1,26190,AJ,1100-1259,1EMA4/409,GONZALEZ - FLORES MARCOS
Probabilidad y Estadistica,ITIS 009,OO1,26190,L,1200-1259,1EMA4/409,GONZALEZ - FLORES MARCOS
Probabilidad y Estadistica,ITIS 009,OO2,26203,L,1300-1359,1CCO4/202,SANDOVAL - SOLIS MARIA
Probabilidad y Estadistica,ITIS 009,OO2,26203,MV,1300-1459,1CCO4/202,SANDOVAL - SOLIS MARIA
Calculo Diferencial e Integral,ITIS 004,OO1,26220,L,0900-0959,1CCO4/102,JIMENEZ - DE LOS SANTOS
